COD_NA17;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
AZ;Agriculture, sylviculture et pêche;Agriculture, forestry and fishing;Agricultura, silvicultura e pesca
C1;Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac;Manufacture of food, drinks and tobacco products;Fabricação de alimentos, bebidas e produtos de tabaco
C2;Cokéfaction et raffinage;Cokecaction and refining;Cokecaction e refino
C3;Fabrication d'équipements électriques, électroniques, informatiques ;Manufacture of electrical, electronic and computer equipment;Fabricação de equipamentos elétricos, eletrônicos e de informática
C4;Fabrication de matériels de transport;Manufacturing of transport equipment;Fabricação de equipamentos de transporte
C5;Fabrication d'autres produits industriels;Manufacture of other industrial products;Fabricação de outros produtos industriais
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;Extractive industries, energy, water, waste management and depollution;Indústrias extrativas, energia, água, gerenciamento de resíduos e depolluição
FZ;Construction;Construction;Construção
GZ;Commerce ;Comerce;Comercio
HZ;Transports et entreposage;Transport and storage;Transporte e armazenamento
IZ;Hébergement et restauration;Accommodation and catering;Acomodação e catering
JZ;Information et communication;Information and communication;Informação e comunicação
KZ;Activités financières et d'assurance;Financial and insurance activities;Atividades financeiras e de seguro
LZ;Activités immobilières;Real estate activities;Atividades imobiliárias
MN;Activités scientifiques et techniques ;Scientific and technical activities;Atividades científicas e técnicas
OQ;Administration publique, enseignement, santé humaine et action sociale;Public administration, teaching, human health and social action;Administração Pública, Ensino, Saúde Humana e Ação Social
RU;Autres activités de services;Other service activities;Outras atividades de serviço
