COD_NA10;Desc_lbl_fr;Desc_lbl_en;Desc_lbl_pt
AZ;Agriculture, sylviculture et pêche;Agriculture, forestry and fishing;Agricultura, silvicultura e pesca
BE;Industries manufacturières, industries extractives et autres;Manufacturing industries, extractive industries and other;Indústrias manufatureiras, indústrias extrativas e outras
FZ;Construction;Construction;Construção
GI;Commerce de gros et de détail, transports, hébergement et restauration;Wholesale and retail, transport, accommodation and catering;Atacado e varejo, transporte, acomodação e catering
JZ;Information et communication;Information and communication;Informação e comunicação
KZ;Activités financières et d'assurance;Financial and insurance activities;Atividades financeiras e de seguro
LZ;Activités immobilières;Real estate activities;Atividades imobiliárias
MN;Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien;Specialized, scientific and technical activities and administrative and support activities;Atividades especializadas, científicas e técnicas e atividades administrativas e de suporte
OQ;Administration publique, enseignement, santé humaine et action sociale;Public administration, teaching, human health and social action;Administração Pública, Ensino, Saúde Humana e Ação Social
RU;Autres activités de services;Other service activities;Outras atividades de serviço
